user_id,avg_buy_days,first_buy_days,avg_pay_money,all_pay_money,shopping_goods,follow_stores,avg_buy_goods,Installment_money
66896918,147,566,2435,9376,207,40,1,2207
42827806,60,266,6794,30121,216,64,4,1676
68702607,53,198,2565,9582,92,89,3,991
43749304,59,298,9375,47352,149,49,2,2920
106536536,115,774,9441,63542,353,78,1,2491
64012016,161,661,222,911,168,70,3,945
91055024,91,214,9607,22592,76,17,5,1520
23695808,95,507,6676,35628,330,55,3,1802
104282808,87,645,3192,23664,214,29,6,1663
20246325,112,450,6188,24862,209,18,2,1047
16594140,150,438,1301,3799,328,24,5,1362
74109495,126,590,5705,26714,315,84,3,2615
97392243,73,233,4005,12783,303,2,6,1965
21178449,90,409,7755,35243,361,91,3,793
15382516,70,217,5259,16303,34,93,3,908
91782991,42,159,8707,32963,296,9,4,1628
15428977,161,548,8986,30586,399,79,2,674
46768731,51,220,7814,33708,241,86,2,2915
37456721,53,479,8563,77390,15,45,5,1747
56305225,95,526,5432,30076,214,2,5,1996
95774929,115,931,3905,31614,211,30,1,1332
90226229,88,212,4721,11374,362,37,2,1804
61086053,125,629,6891,34675,20,7,6,1909
53621979,106,547,2032,10485,16,9,3,1065
51786484,22,135,7656,46980,189,27,6,2760
100503470,151,1406,2570,23929,111,26,6,1608
16181563,174,820,6983,32909,209,53,1,2184
7835317,88,495,1402,7887,50,90,2,1042
20699086,137,936,1899,12975,83,53,3,1158
17266845,53,222,9738,40789,229,68,5,1781
64270070,92,234,6147,15635,163,80,6,2702
93991884,108,569,5959,31395,158,72,4,2804
67067816,125,1231,7104,69961,396,93,2,1892
59105426,75,170,4114,9326,149,30,2,1180
33566791,180,1258,2939,20541,349,57,4,1791
1225067,90,227,1780,4489,240,94,6,2006
55357659,103,253,3490,8573,354,93,4,1433
65656639,74,222,1144,3431,194,94,4,2384
67059556,63,457,7030,50996,9,30,5,1704
5535393,118,518,7847,34447,371,72,1,1995
80414399,90,701,3083,24014,4,21,5,1831
56430322,163,1194,9044,66248,132,81,1,2352
54636749,154,642,4633,19314,245,8,4,1557
87198369,90,870,1974,19082,259,26,5,1085
20824386,85,311,2309,8448,200,68,6,1454
62420857,35,279,5167,41189,80,30,5,1813
28754773,141,974,9628,66508,340,37,1,2708
10472897,42,277,5684,37488,312,42,3,2239
65551622,160,834,353,1841,205,23,2,1263
19320090,143,825,2572,14838,90,31,5,1530
25607759,70,187,6455,17244,272,69,2,858
1906750,76,166,3962,8653,351,81,3,2736
64616255,100,719,2113,15193,141,27,2,1206
34554439,170,1509,9338,82888,34,72,1,1104
11876256,111,651,1524,8939,203,52,4,547
